trip_id,vendor_id,rate_code_id,pickup_location_id,dropoff_location_id,pickup_datetime,dropoff_datetime,passenger_count,trip_type,payment_type,taxi_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,ehail_fee,payment_name
af0c67e482e5bd9400c10ddf868624ca,2,1,159,168,2019-01-01T17:36:00Z,2019-01-01T17:45:26Z,1,1,1,Green,7.0,0.0,0.5,0.0,0.0,0.3,7.8,,Credit Card
ce012a0beb3f65a9ad2e1bc1dd064c2f,2,1,247,47,2019-01-01T22:16:14Z,2019-01-01T22:23:45Z,1,1,2,Green,7.0,0.5,0.5,0.0,0.0,0.3,8.3,,Cash
ab9ed3eaaf54701993d902e237d1edb6,2,1,41,74,2019-01-01T01:56:45Z,2019-01-01T02:02:54Z,1,1,2,Green,7.0,0.5,0.5,0.0,0.0,0.3,8.3,,Cash
60654220216fdb5df7fb1485a65a5cd8,1,1,244,119,2019-01-01T02:16:37Z,2019-01-01T02:24:00Z,1,1,2,Green,7.0,0.5,0.5,0.0,0.0,0.3,8.3,,Cash
a05979a2e332d76aa49101908118d6d2,1,1,49,25,2019-01-01T01:59:38Z,2019-01-01T02:07:38Z,1,1,1,Green,7.0,0.5,0.5,1.25,0.0,0.3,9.55,,Credit Card
3fa995d43c8c0058cd1d160b99db1b6c,2,1,55,49,2019-01-01T01:56:38Z,2019-01-01T02:25:04Z,1,1,1,Green,42.5,0.5,0.5,8.76,0.0,0.3,52.56,,Credit Card
88df3d8e298b545648685e547e941cac,2,1,33,146,2019-01-01T02:36:12Z,2019-01-01T02:57:54Z,1,1,1,Green,23.5,0.5,0.5,4.96,0.0,0.3,29.76,,Credit Card
e2256af9ea8d6ab57aec3f5002c0fd52,2,1,223,90,2019-01-01T05:12:56Z,2019-01-01T05:39:07Z,1,1,2,Green,23.5,0.5,0.5,0.0,0.0,0.3,24.8,,Cash
c2091a95b14fd68812a589ae0dfdefe9,2,1,181,246,2019-01-01T02:50:08Z,2019-01-01T03:10:53Z,1,1,1,Green,23.5,0.5,0.5,4.0,5.76,0.3,37.31,,Credit Card
44ae8bd7da78c705b771207625ccfc30,2,1,7,179,2019-01-01T02:37:45Z,2019-01-01T02:40:51Z,1,1,1,Green,4.5,0.5,0.5,1.16,0.0,0.3,6.96,,Credit Card
ad80fe5e622f52011dc4f55b22b4b73b,2,1,255,256,2019-01-01T02:10:21Z,2019-01-01T02:14:43Z,1,1,1,Green,4.5,0.5,0.5,1.16,0.0,0.3,6.96,,Credit Card
55851c331ce3a8fe9efa2b7da82e07f4,2,1,181,189,2019-01-01T16:18:30Z,2019-01-01T16:22:10Z,1,1,2,Green,4.5,0.0,0.5,0.0,0.0,0.3,5.3,,Cash
2643ba59dc3bb3a5ebf37528807094c3,2,1,43,236,2019-01-01T12:00:39Z,2019-01-01T12:03:09Z,6,1,1,Green,4.5,0.0,0.5,1.5,0.0,0.3,6.8,,Credit Card
501e45813aadbc5762d039fa98c6d32e,2,1,33,33,2019-01-01T14:32:35Z,2019-01-01T14:37:48Z,1,1,1,Green,4.5,0.0,0.5,3.0,0.0,0.3,8.3,,Credit Card
1e650a4d9c6db828d2a829377c0f149d,2,1,196,95,2019-01-01T01:49:59Z,2019-01-01T01:52:57Z,1,1,2,Green,4.5,0.5,0.5,0.0,0.0,0.3,5.8,,Cash
022db520e0d2237f639d0e454a74f774,2,1,83,129,2019-01-01T01:34:45Z,2019-01-01T01:38:31Z,1,1,2,Green,4.5,0.5,0.5,0.0,0.0,0.3,5.8,,Cash
a56fb0b66807a6fe08cb07dee68a7cdd,2,5,255,255,2019-01-01T06:39:54Z,2019-01-01T06:40:41Z,1,2,1,Green,40.0,0.0,0.0,12.0,0.0,0.0,52.0,,Credit Card
ed6bab4a461f60f0cf869d4f8751a4c7,1,1,223,198,2019-01-01T00:47:04Z,2019-01-01T01:06:21Z,2,1,1,Green,21.0,0.5,0.5,0.0,0.0,0.3,22.3,,Credit Card
2e1fd4c73789be390e626952722580db,2,1,7,161,2019-01-01T05:02:23Z,2019-01-01T05:23:22Z,1,1,2,Green,18.5,0.5,0.5,0.0,0.0,0.3,19.8,,Cash
89fedddc50695507cc77f6db18c3d9ca,2,1,74,142,2019-01-01T17:21:59Z,2019-01-01T17:47:17Z,1,1,1,Green,18.5,0.0,0.5,3.86,0.0,0.3,23.16,,Credit Card
5ea52d3774b77ad0b31fa20526353999,2,1,33,233,2019-01-01T13:26:00Z,2019-01-01T13:37:14Z,1,1,1,Green,18.5,0.0,0.5,3.86,0.0,0.3,23.16,,Credit Card
c99f7d068f0185d3596f287f019b53ab,2,1,72,180,2019-01-01T18:19:41Z,2019-01-01T18:42:34Z,1,1,1,Green,18.5,0.0,0.5,0.0,0.0,0.3,19.3,,Credit Card
1f3f97b046f26f515c8f6657db2ec7eb,1,1,7,82,2019-01-01T17:05:32Z,2019-01-01T17:28:57Z,1,1,2,Green,18.5,0.0,0.5,0.0,0.0,0.3,19.3,,Cash
1a2225bde2145992971c816f7674f2a6,2,1,75,224,2019-01-01T19:42:19Z,2019-01-01T19:58:14Z,1,1,2,Green,18.5,0.0,0.5,0.0,0.0,0.3,19.3,,Cash
7654e208f1129e67989705da5fd904c5,2,1,145,49,2019-01-01T04:42:58Z,2019-01-01T04:56:37Z,1,1,1,Green,16.0,0.5,0.5,4.32,0.0,0.3,21.62,,Credit Card
e25af27239983ae2b52204ba7842d53a,2,1,42,212,2019-01-01T02:31:01Z,2019-01-01T02:45:02Z,1,1,2,Green,16.0,0.5,0.5,0.0,0.0,0.3,17.3,,Cash
b47f6aafa9864a44179eaec8e8e06461,2,1,74,244,2019-01-01T13:57:51Z,2019-01-01T14:12:56Z,1,1,1,Green,16.0,0.0,0.5,3.36,0.0,0.3,20.16,,Credit Card
4a2fcf87aed78361d53c2850e7a7475c,2,1,255,7,2019-01-01T05:52:09Z,2019-01-01T06:10:06Z,1,1,1,Green,16.0,0.5,0.5,3.46,0.0,0.3,20.76,,Credit Card
b94556b09e090a0134f7803bbcfdf252,2,1,62,77,2019-01-01T13:22:12Z,2019-01-01T13:42:09Z,1,1,1,Green,16.0,0.0,0.5,0.0,0.0,0.3,16.8,,Credit Card
3956f23f683dc0b1c062fcc5c7b810df,2,1,244,75,2019-01-01T14:09:32Z,2019-01-01T14:19:25Z,1,1,2,Green,16.0,0.0,0.5,0.0,0.0,0.3,16.8,,Cash
87236255bfd355c91d465dffffbcbf22,2,1,42,141,2019-01-01T13:28:39Z,2019-01-01T13:42:53Z,1,1,1,Green,16.0,0.0,0.5,0.0,0.0,0.3,16.8,,Credit Card
060c07cf243990066ad03a8fc4dd60ee,1,1,41,127,2019-01-01T03:26:16Z,2019-01-01T03:40:24Z,1,1,1,Green,16.0,0.5,0.5,3.45,0.0,0.3,20.75,,Credit Card
d3b14ca3c07bdd2ffdeefeb9742113e7,2,1,129,129,2019-01-01T08:31:33Z,2019-01-01T08:32:38Z,1,1,3,Green,-3.0,0.0,-0.5,0.0,0.0,-0.3,-3.8,,No Charge
1570bd905221fa182ca1920ad26203c6,2,1,7,177,2019-01-01T15:00:29Z,2019-01-01T15:44:13Z,6,1,2,Green,32.5,0.0,0.5,0.0,0.0,0.3,33.3,,Cash
c00c658c8a747d9914ecf29d8846216c,1,1,36,256,2019-01-01T01:47:22Z,2019-01-01T02:05:21Z,1,1,2,Green,13.5,0.5,0.5,0.0,0.0,0.3,14.8,,Cash
e3e84911884b609c7c1bece9ec69adf9,2,1,177,188,2019-01-01T09:16:41Z,2019-01-01T09:32:44Z,1,1,2,Green,13.5,0.0,0.5,0.0,0.0,0.3,14.3,,Cash
